In what country do you currently live?,What is your age?,income,"If you live in the US, what is your 5-digit zipcode?",us_currency
Unnited States,29,49000,48823,49000
Russia,20,45000,NA,585
Unnited States,23,35000,2532,35000
Russia,21,0,NA,0
Unnited States,38,100000,20910,100000
Unnited States,42,32000,80202,32000
Hungary,28,2500000,NA,7750
Unnited States,38,42000,33021,42000
Unnited States,23,47000,NA,47000
Unnited States,35,0,17837,0
Unnited States,31,75000,5404,75000
Unnited States,40,55000,73072,55000
Unnited States,26,45000,60625,45000
Unnited States,23,9000,16505,9000
Unnited States,54,110000,47401,110000
Unnited States,32,100000,53202,100000
Mexico,47,240000,NA,10080
Canada,26,25000,NA,17750
Unnited States,30,24000,14850,24000
Unnited States,34,50000,NA,50000
Unnited States,26,38000,5401,38000
Unnited States,41,300000,2465,300000
Unnited States,33,15000,47408,15000
Unnited States,32,75000,5401,75000
Unnited States,65,100000,27932,100000
Unnited States,56,150000,97330,150000
Unnited States,36,21000,NA,21000
Hungary,27,12000000,NA,37200
Unnited States,38,48000,47404,48000
Hungary,43,300000,NA,930
Hungary,35,12000000,NA,37200
Russia,20,140000,NA,1820
Unnited States,29,47000,5478,47000
Unnited States,20,20000,5464,20000
Unnited States,20,42000,8089,42000
Unnited States,23,24000,5401,24000
Unnited States,29,26000,47408,26000
Unnited States,30,48000,37221,48000
Unnited States,39,80000,47401,80000
Unnited States,46,85000,47408,85000
Unnited States,83,40000,27932,40000
Unnited States,26,20000,47401,20000
Unnited States,92,48000,NA,48000
Unnited States,54,18000,47404,18000
Unnited States,29,19500,47401,19500
Unnited States,25,22000,95843,22000
Unnited States,25,22000,50263,22000
Unnited States,58,50000,47401,50000
Unnited States,21,5000,5675,5000
Russia,21,0,NA,0
Russia,19,360000,NA,4680
Unnited States,21,1000,47408,1000
Unnited States,19,50000,55414,50000
Russia,19,0,NA,0
Unnited States,26,25000,47404,25000
Russia,22,240000,NA,3120
Unnited States,62,24000,27948,24000
Unnited States,40,90000,27713,90000
Unnited States,68,75000,27948,75000
Russia,34,360000,NA,4680
Unnited States,65,95000,27948,95000
Unnited States,27,70000,33629,70000
Russia,23,400000,NA,5200
Unnited States,71,140000,27932,140000
Russia,20,0,NA,0
Unnited States,64,98000,28627,98000
Russia,19,200000,NA,2600
Russia,21,340,NA,4.42
Russia,19,22,NA,0.29
Unnited States,56,0,22655,0
Unnited States,44,50000,27540,50000
Unnited States,81,50000,27948,50000
Unnited States,29,44000,53715,44000
Unnited States,25,65000,5495,65000
Unnited States,44,50000,27540,50000
Germany,26,35000,NA,38150
Germany,27,45000,NA,49050
Unnited States,59,45000,27858,45000
Unnited States,29,50000,5401,50000
Germany,58,20000,NA,21800
Germany,25,38000,NA,41420
Unnited States,44,65000,27948,65000
